state_code_year;temperature_mean;drought_mean;precipitation_mean;climat
KY-1994;57,97;0,28;4,06;subtropical
KY-1995;57,22;-0,19;4;subtropical
KY-1996;56,4;1,92;4,73;subtropical
KY-1997;56,47;1,26;4,09;subtropical
KY-1998;59,76;-0,46;4,11;subtropical
KY-1999;59,05;-2,77;3,17;subtropical
KY-2000;57,65;-2,57;3,77;subtropical
KY-2001;58,85;-0,4;3,79;subtropical
KY-2002;58,55;1;4,46;subtropical
KY-2003;57,68;2,82;4,67;subtropical
KY-2004;58,58;3,07;4,66;subtropical
KY-2005;58,4;-0,92;3,32;subtropical
KY-2006;58,05;-0,08;4,36;subtropical
KY-2007;59,51;-1,34;3,49;subtropical
KY-2008;57,35;-0,28;3,88;subtropical
KY-2009;57,68;0,7;4,53;subtropical
KY-2010;58,39;-1,17;3,63;subtropical
KY-2011;59,35;2,43;5,36;subtropical
KY-2012;60,2;-0,81;3,6;subtropical
KY-2013;56,71;2,02;4,65;subtropical
KY-2014;56,85;2,23;3,93;subtropical
KY-2015;58,78;2,64;4,86;subtropical
LA-1992;67,43;3,01;5,55;subtropical
LA-1993;66,95;1,05;4,91;subtropical
LA-1994;68,23;0,14;4,92;subtropical
LA-1995;68,26;-0,11;5,19;subtropical
LA-1996;67,72;-0,18;4,42;subtropical
LA-1997;67,57;1,64;5,36;subtropical
LA-1998;70,04;0,29;5,25;subtropical
LA-1999;69,1;-1,44;3,99;subtropical
LA-2000;68,57;-3,26;3,98;subtropical
LA-2001;68,57;1,33;5,69;subtropical
LA-2002;68,03;0,18;5,36;subtropical
LA-2003;68,26;-0,13;4,33;subtropical
LA-2004;68,68;1,15;6,04;subtropical
LA-2005;68,75;-1,53;3,8;subtropical
LA-2006;68,9;-2,25;4,62;subtropical
LA-2007;69;-0,37;4,37;subtropical
LA-2008;68,3;-0,48;4,68;subtropical
LA-2009;68,34;-0,15;5,34;subtropical
LA-2010;68,35;-2,16;3,48;subtropical
LA-2011;69,61;-4,58;3,58;subtropical
LA-2012;69,95;-0,69;5,24;subtropical
LA-2013;67,5;0,07;5,12;subtropical
LA-2014;67,05;0,33;4,66;subtropical
LA-2015;69,99;0,28;5,61;subtropical
ME-1992;42,15;-0,34;3,13;continental humide ete frais
ME-1993;42,21;-0,06;3,63;continental humide ete frais
ME-1994;43,72;0,13;3,47;continental humide ete frais
ME-1995;42,85;-0,79;3,56;continental humide ete frais
ME-1996;43,45;2,77;4,28;continental humide ete frais
ME-1997;42,17;0,78;3,29;continental humide ete frais
ME-1998;45,83;0,48;3,77;continental humide ete frais
ME-1999;46,48;0,03;3,86;continental humide ete frais
ME-2000;43,37;0,21;3,6;continental humide ete frais
ME-2001;45,25;-3,29;2,49;continental humide ete frais
ME-2002;43,58;-3,06;3,42;continental humide ete frais
ME-2003;43,29;-1,17;3,84;continental humide ete frais
ME-2004;43,54;-0,79;3,23;continental humide ete frais
ME-2005;44,59;2,69;5,13;continental humide ete frais
ME-2006;45,92;4,32;4,3;continental humide ete frais
ME-2007;42,85;2,88;3,97;continental humide ete frais
ME-2008;43,7;3,89;4,67;continental humide ete frais
ME-2009;43,85;3,9;4,12;continental humide ete frais
ME-2010;46,85;0,87;4,11;continental humide ete frais
ME-2011;45,26;2,38;4,17;continental humide ete frais
ME-2012;46,19;0,27;3,95;continental humide ete frais
ME-2013;44,35;1,09;3,8;continental humide ete frais
ME-2014;43,65;2,13;4,12;continental humide ete frais
ME-2015;43,91;0,25;3,6;continental humide ete frais
MD-1992;55,15;-1,17;3,53;subtropical
MD-1993;55,79;0,29;3,81;subtropical
MD-1994;56,94;-0,18;3,82;subtropical
MD-1995;56,01;-1,4;3,29;subtropical
MD-1996;55,3;3,23;4,91;subtropical
MD-1997;55,93;-0,62;3,23;subtropical
MD-1998;58,53;0,01;3,54;subtropical
MD-1999;57,49;-1,86;3,69;subtropical
MD-2000;56,1;0,74;3,66;subtropical
MD-2001;57,43;-0,79;3;subtropical
MD-2002;57,85;-2,62;3,46;subtropical
MD-2003;56,22;3,77;5,06;subtropical
MD-2004;57,63;3,37;3,88;subtropical
MD-2005;57,1;0,51;3,67;subtropical
MD-2006;57,92;-0,09;3,75;subtropical
MD-2007;57,25;-2,02;3;subtropical
MD-2008;57,1;-1,69;3,75;subtropical
MD-2009;56,91;0,99;4,27;subtropical
MD-2010;58;-0,55;3,41;subtropical
MD-2011;58,97;0,06;4,26;subtropical
MD-2012;59,32;-1,39;3,37;subtropical
MD-2013;56,39;0,57;3,84;subtropical
MD-2014;55,92;0,64;3,73;subtropical
MD-2015;57,69;-0,13;3,91;subtropical
MA-1992;48,22;0,37;3,73;continental humide ete sec
MA-1993;49,09;0,17;3,7;continental humide ete sec
MA-1994;50,43;0,06;3,98;continental humide ete sec
MA-1995;49,26;-0,86;3,46;continental humide ete sec
MA-1996;49,39;2,84;5,05;continental humide ete sec
MA-1997;49,35;-0,37;3,43;continental humide ete sec
MA-1998;52,12;0,34;4,18;continental humide ete sec
MA-1999;51,95;-0,33;3,84;continental humide ete sec
MA-2000;49,7;0,71;4,18;continental humide ete sec
MA-2001;51,32;-0,62;3,33;continental humide ete sec
MA-2002;50,88;-1,55;3,94;continental humide ete sec
MA-2003;49,66;1,73;4,44;continental humide ete sec
MA-2004;50,37;0,26;3,88;continental humide ete sec
MA-2005;50,7;1,19;4,75;continental humide ete sec
MA-2006;51,68;2,75;4,48;continental humide ete sec
MA-2007;49,96;0,12;3,79;continental humide ete sec
MA-2008;50,46;2,56;4,98;continental humide ete sec
MA-2009;50,28;2,99;4,31;continental humide ete sec
MA-2010;52,57;0,13;4,14;continental humide ete sec
MA-2011;52,15;1,46;5,07;continental humide ete sec
MA-2012;53,24;-1,49;3,48;continental humide ete sec
MA-2013;50,74;-0,33;3,87;continental humide ete sec
MA-2014;49,97;0,48;4,18;continental humide ete sec
MA-2015;50,88;-0,95;3,45;continental humide ete sec
MI-1992;45,21;1,46;2,78;continental humide ete frais
MI-1993;45,24;2,83;2,7;continental humide ete frais
MI-1994;46,98;1,18;2,7;continental humide ete frais
MI-1995;46,15;-0,35;2,65;continental humide ete frais
MI-1996;44,85;1,24;2,83;continental humide ete frais
MI-1997;45,9;0,37;2,49;continental humide ete frais
MI-1998;50,38;-1,81;2,46;continental humide ete frais
MI-1999;48,97;-2,59;2,62;continental humide ete frais
MI-2000;47,35;-0,19;2,75;continental humide ete frais
MI-2001;48,93;0,52;2,93;continental humide ete frais
MI-2002;47,4;0,07;2,58;continental humide ete frais
MI-2003;46,45;-1,57;2,59;continental humide ete frais
MI-2004;47,34;0,86;2,95;continental humide ete frais
MI-2005;48,59;-1,76;2,49;continental humide ete frais
MI-2006;48,57;0,77;2,99;continental humide ete frais
MI-2007;48,09;-1,17;2,56;continental humide ete frais
MI-2008;45,96;1,55;3,07;continental humide ete frais
MI-2009;46,61;2,18;2,82;continental humide ete frais
MI-2010;49,42;-0,09;2,6;continental humide ete frais
MI-2011;48,23;1,3;3,07;continental humide ete frais
MI-2012;50,55;-1,05;2,58;continental humide ete frais
MI-2013;45,97;2,19;3,19;continental humide ete frais
MI-2014;44,57;2,47;3,06;continental humide ete frais
MI-2015;47,7;-0,64;2,65;continental humide ete frais
MN-1992;43,05;2,37;2,12;continental humide ete frais
MN-1993;41,74;3,9;2,62;continental humide ete frais
MN-1994;44,87;3,31;2,35;continental humide ete frais
MN-1995;42,89;2,67;2,46;continental humide ete frais
MN-1996;40,95;2,63;2,31;continental humide ete frais
MN-1997;43,85;2,51;2,1;continental humide ete frais
MN-1998;47,72;0,99;2,4;continental humide ete frais
MN-1999;46,97;2,5;2,47;continental humide ete frais
MN-2000;44,68;1,71;2,33;continental humide ete frais
MN-2001;45,51;0,9;2,44;continental humide ete frais
MN-2002;44,22;0,55;2,38;continental humide ete frais
MN-2003;44,37;-0,83;1,85;continental humide ete frais
MN-2004;44,59;0,48;2,49;continental humide ete frais
MN-2005;46,29;2,72;2,63;continental humide ete frais
MN-2006;46,23;-0,65;1,9;continental humide ete frais
MN-2007;44,93;-0,94;2,43;continental humide ete frais
MN-2008;42,23;1,47;2,28;continental humide ete frais
MN-2009;43,55;0,62;2,2;continental humide ete frais
MN-2010;45,94;1,86;2,79;continental humide ete frais
MN-2011;45,39;1,7;2,03;continental humide ete frais
MN-2012;47,64;-3,26;2,18;continental humide ete frais
MN-2013;41,86;0,12;2,42;continental humide ete frais
MN-2014;41,95;0,46;2,43;continental humide ete frais
MN-2015;46,2;0,26;2,46;continental humide ete frais
MS-1992;64,49;0,79;4,67;subtropical
MS-1993;64,07;1,26;4,59;subtropical
MS-1994;65,57;1,12;5,04;subtropical
MS-1995;65,19;0,02;4,79;subtropical
MS-1996;64,71;0,09;4,51;subtropical
MS-1997;64,54;1,81;5,4;subtropical
MS-1998;67,41;-0,7;4,75;subtropical
MS-1999;66,4;-1,74;3,99;subtropical
MS-2000;65,75;-3,1;3,72;subtropical
MS-2001;65,77;1,75;5,52;subtropical
MS-2002;65,48;2,28;5,51;subtropical
MS-2003;65,34;2,98;4,92;subtropical
MS-2004;65,71;2,46;5,48;subtropical
MS-2005;65,56;-0,48;4,22;subtropical
MS-2006;65,96;-1,87;4,37;subtropical
MS-2007;66,65;-2,76;3,48;subtropical
MS-2008;65,13;-0,52;4,95;subtropical
MS-2009;65,32;1,99;5,7;subtropical
MS-2010;65,56;-1,41;3,66;subtropical
MS-2011;66,47;-2,52;4,4;subtropical
MS-2012;67,04;0,01;4,93;subtropical
MS-2013;64,35;2,26;5,24;subtropical
MS-2014;64,48;1,03;4,85;subtropical
MS-2015;67,25;0,1;5,05;subtropical
MO-1992;56,25;0,53;3,48;continental humide ete sec
MO-1993;55,1;4,46;4,72;continental humide ete sec
MO-1994;57,27;3,51;3,51;continental humide ete sec
MO-1995;56,44;1,14;3,5;continental humide ete sec
MO-1996;55,24;0,84;3,64;continental humide ete sec
MO-1997;56,16;1,76;3,32;continental humide ete sec
MO-1998;59,15;2,13;4,16;continental humide ete sec
MO-1999;58,71;0,34;3,07;continental humide ete sec
MO-2000;57,16;-1,57;2,98;continental humide ete sec
MO-2001;58,21;0,62;3,63;continental humide ete sec
MO-2002;57,15;-0,08;3,35;continental humide ete sec
MO-2003;56,96;-0,42;3,34;continental humide ete sec
MO-2004;57,25;1,5;3,71;continental humide ete sec
MO-2005;58,32;-0,69;3,03;continental humide ete sec
MO-2006;58,16;-1,87;3,17;continental humide ete sec
MO-2007;58,41;-0,34;3,3;continental humide ete sec
MO-2008;55,49;3,73;4,68;continental humide ete sec
MO-2009;56,36;4,22;4,31;continental humide ete sec
MO-2010;57,91;3,9;3,71;continental humide ete sec
MO-2011;58,27;0,6;3,81;continental humide ete sec
MO-2012;60,57;-2,64;2,59;continental humide ete sec
MO-2013;55,41;1,01;3,81;continental humide ete sec
MO-2014;55,34;0,44;3,28;continental humide ete sec
MO-2015;58,08;2,44;4,63;continental humide ete sec
MT-1992;44,88;-2,29;1,46;steppe
MT-1993;42,14;1,46;1,88;steppe
